#SAMPLE	SMILES	Max_Rank	Max_Probability
SJ000550718-1	Oc1ccc(Br)cc1CN1CCN(c2cccc(Cl)c2)CC1	1044	0.65000
SJ000550964-1	COc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2c(F)cccc2Cl)cc1OC	1043	0.71997
SJ000551169-1	O=C(Nc1ccc([N+](=O)[O-])cc1O)C1CC1(c1ccccc1)c1ccccc1	1043	0.67000
SJ000551643-1	O=c1c(Oc2ccccc2Cl)c(C(F)(F)F)oc2c(CN3CCCCC3)c(O)ccc12	1043	0.59143
SJ000550715-1	Oc1ccc(Br)cc1CN1CCN(c2ccc(Cl)cc2)CC1	1042	0.67000
SJ000550953-1	COc1cc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(O)cc2)ccc1OC(C)C	1042	0.64325
SJ000551680-1	Cc1cc(C)cc(Oc2c(C(F)(F)F)oc3c(CN4CC(C)OC(C)C4)c(O)ccc3c2=O)c1	1041	0.67725
SJ000551173-1	Cc1cccc(C2(c3cccc(C)c3)CC2C(=O)Nc2ccc([N+](=O)[O-])cc2O)c1	1041	0.65000
SJ000550375-1	CCOc1cc(C2C(C(=O)OCC(C)C)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1041	0.54988
SJ000550764-1	CC(/C=C1\Sc2ccccc2N1CCO)=C\c1sc2ccccc2[n+]1CCO	1040	0.67696
SJ000550488-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccco3)C2)C1c1ccc(OC)c(OC)c1	1040	0.54000
SJ000550733-1	Oc1ccc(Br)cc1CN1CCN(C2CCCCCC2)CC1	1039	0.64000
SJ000551670-1	Cc1cccc(Oc2c(C(F)(F)F)oc3c(CN4CCCC4)c(O)ccc3c2=O)c1	1039	0.56837
SJ000550779-1	CC[n+]1c(/C=C(\C)Nc2ccccc2)sc2ccccc21	1038	0.65517
SJ000551641-1	Cc1ccc(C)c(Oc2c(C(F)(F)F)oc3c(CN4CCOCC4)c(O)ccc3c2=O)c1	1038	0.52952
SJ000551284-1	CC1CCCC(C)N1CC(O)Cn1c2ccccc2c2ccccc21	1037	0.64953
SJ000551106-1	CCOc1cc(C2CC(=O)NC3=C2C(=O)CC(c2cc(OC)ccc2OC)C3)cc(Br)c1O	1037	0.51976
SJ000550752-1	CCC(/C=C1\Sc2ccc(OC)cc2N1CCO)=C\c1sc2ccc(OC)cc2[n+]1CCO	1036	0.64507
SJ000550376-1	CCOc1cc(C2C(C(=O)OCCc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1036	0.59000
SJ000550995-1	Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Nc1cc(Cl)ccc1Cl	1035	0.56000
SJ000550373-1	CCOc1cc(C2C(C(=O)OC(C)CC)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1035	0.50984
SJ000551677-1	Cc1cccc(Oc2c(C(F)(F)F)oc3c(CN4CC(C)OC(C)C4)c(O)ccc3c2=O)c1	1034	0.63608
SJ000551647-1	Cc1cccc(Oc2c(C(F)(F)F)oc3c(CN4CCC(C)CC4)c(O)ccc3c2=O)c1	1034	0.58666
SJ000550951-1	COc1ccc(OC)c(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(Cl)cc2Cl)c1	1033	0.63291
SJ000551646-1	Cc1cc(C)cc(Oc2c(C(F)(F)F)oc3c(CN4CCOCC4)c(O)ccc3c2=O)c1	1033	0.49952
SJ000551644-1	CCN1CCN(Cc2c(O)ccc3c(=O)c(Oc4ccccc4Br)c(C(F)(F)F)oc23)CC1	1032	0.62423
SJ000550923-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccccc3)C2)C1c1cc(Cl)c(O)c(OC)c1	1032	0.55000
SJ000550464-1	CC(C)(C)C(O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21	1031	0.60283
SJ000551686-1	O=c1c(Oc2ccccc2Cl)c(C(F)(F)F)oc2c(CN3CCOCC3)c(O)ccc12	1031	0.47960
SJ000550731-1	Oc1ccc(Br)cc1CN1CCN(CC2CC3C=CC2C3)CC1	1030	0.59808
SJ000551679-1	O=c1c(Oc2ccccc2)c(C(F)(F)F)oc2c(CN3CCCCC3)c(O)ccc12	1030	0.46934
SJ000550461-1	Cc1ccccc1Cn1c(=N)n(CC(O)c2ccc(Cl)c(Cl)c2)c2ccccc21	1029	0.58709
SJ000550813-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)COc1ccc(Cl)cc1Cl	1027	0.54770
SJ000550732-1	Oc1ccc(Br)cc1CN1CCN(Cc2cccc3ccccc23)CC1	1027	0.45000
SJ000550858-1	CN(C)CC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1026	0.43960
SJ000551105-1	COc1ccc(OC)c(C2CC(=O)C3=C(C2)NC(=O)CC3c2cccc(Cl)c2Cl)c1	1025	0.57026
SJ000550377-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)cc3)C2)C1c1cccc(F)c1	1025	0.48000
SJ000550467-1	C=CCn1c(=N)n(CC(O)c2ccc(Br)cc2)c2ccccc21	1025	0.43000
SJ000550851-1	OC(CN1CCCCCC1)Cn1c2ccccc2c2ccccc21	1024	0.56993
SJ000550850-1	OC(CN1CCCCCC1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1024	0.45768
SJ000551683-1	CCc1ccc(Oc2c(C(F)(F)F)oc3c(CN4CC(C)OC(C)C4)c(O)ccc3c2=O)cc1	1023	0.47000
SJ000551081-1	OC(CNCc1ccc(-c2ccccc2)cc1)c1ccccc1	1023	0.47000
SJ000498746-2	OCCN1CCN(C2CCN(Cc3cc(Br)ccc3O)CC2)CC1	1022	0.56489
SJ000550873-1	CC(C)(C)NCC(O)Cn1c2ccccc2c2ccccc21	1020	0.46999
SJ000550994-1	Cc1cc(C)nc(-n2nc(C)c(Cc3ccccc3Cl)c2O)n1	1019	0.53871
SJ000550683-1	OCCNCC(O)Cn1c2ccc(I)cc2c2cc(I)ccc21	1019	0.41939
SJ000551650-1	Cc1cc(Oc2c(C(F)(F)F)oc3c(CN4CCOCC4)c(O)ccc3c2=O)cc(C)c1Cl	1017	0.44520
SJ000550870-1	OC(CN1CCCCC1)Cn1c2ccccc2c2cc(Cl)ccc21	1016	0.42000
SJ000551682-1	CC1CN(Cc2c(O)ccc3c(=O)c(Oc4ccc5ccccc5c4)c(C(F)(F)F)oc23)CC(C)O1	1015	0.49638
SJ000550667-1	CC(C)(CO)NCC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1014	0.43999
SJ000550869-1	OC(CN1CCCC1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1014	0.38973
SJ000550817-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)c1cccc(Br)c1	1012	0.43000
SJ000550388-1	CCOc1cc(C2C(C(=O)OCCOC)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1012	0.38000
SJ000550465-1	CCCCn1c(=N)n(CC(O)c2ccc(OC)cc2)c2ccccc21	1011	0.47420
SJ000550948-1	COc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2cc(OC)c(OC)c(OC)c2)cc1OC	1011	0.36993
SJ000551001-1	COc1cccc(-c2cc(O)n(-c3nc(C)cc(C)n3)n2)c1	1010	0.47256
SJ000550682-1	CC1CCN(CC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)CC1	1010	0.42000
SJ000550490-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(OCC)cc1	1009	0.41000
SJ000550669-1	COc1ccc(CCNCC(O)Cn2c3ccccc3c3ccccc32)cc1OC	1008	0.46086
SJ000550668-1	COCCNCC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	1008	0.41000
SJ000550500-1	CC(C)(C)NC(=O)c1cn(C2CCCCC2)cc(C(=O)NC2CCN(Cc3ccccc3)CC2)c1=O	1008	0.36000
SJ000550946-1	O=C1CC(c2c(F)cccc2Cl)C2=C(CC(c3ccc(F)cc3)CC2=O)N1	1007	0.45960
SJ000551080-1	OC(CNCc1cccc(Cl)c1)c1ccccc1	1007	0.41000
SJ000550383-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(OC)cc1	1006	0.39000
SJ000550765-1	CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC(=O)O)Sc2ccccc21	1005	0.45133
SJ000550777-1	CC[n+]1c(/C=C/c2cc(C)n(-c3ccccc3)c2C)sc2ccccc21	1004	0.44887
SJ000550372-1	CCOc1cc(C2C(C(=O)OCc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1004	0.38992
SJ000550962-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)c(OC)cc1Br	1003	0.35000
SJ000550927-1	Cc1cc(C)nc(-n2nc(C)c(Cc3ccccc3C)c2O)n1	1002	0.42915
SJ000550380-1	CCOc1cc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O	1002	0.38000
SJ000551681-1	O=c1c(Oc2ccc3ccccc3c2)c(C(F)(F)F)oc2c(CN3CCCC3)c(O)ccc12	1001	0.42613
SJ000551210-1	CCN(CC)CCN1C(=O)c2ccccc2NC1c1ccc(Cl)cc1Cl	1000	0.37000
SJ000550670-1	OC(CN1CCN(c2ccccc2)CC1)Cn1c2ccccc2c2ccccc21	998	0.41343
SJ000550471-1	CCN(CC)CCn1c(=N)n(CC(O)COc2ccc(Cl)cc2)c2ccccc21	998	0.36000
SJ000551349-1	Cc1ccc(NC(=O)c2nn(C)cc2I)cc1[N+](=O)[O-]	997	0.38858
SJ000550384-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cccc(OC)c1OC	996	0.35000
SJ000550843-1	Cc1ccccc1NCC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	996	0.31967
SJ000550857-1	CCN(CC)CC(O)Cn1c2ccccc2c2ccccc21	994	0.38741
SJ000550871-1	OC(CN1CCCCC1)Cn1c2ccc(I)cc2c2cc(I)ccc21	994	0.30982
SJ000551004-1	Cc1cc(C)nc(-n2nc(-c3ccc(F)cc3)cc2O)n1	993	0.37731
SJ000550854-1	OC(CN1CCCCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	993	0.36833
SJ000551163-1	CCN(CC)CCN1C(=O)c2ccccc2NC1c1ccc(Br)cc1	993	0.30000
SJ000551167-1	Cc1cccc(C2(c3cccc(C)c3)CC2C(=O)Nc2cc([N+](=O)[O-])ccc2O)c1	992	0.34000
SJ000550865-1	CCn1c2ccccc2c2cc(CNC3CCCCC3)ccc21	990	0.34000
SJ000550816-1	C=CCn1c(=N)n(CC(O)c2cccc(Br)c2)c2ccccc21	990	0.29983
SJ000551648-1	O=c1c(Oc2ccc3ccccc3c2)c(C(F)(F)F)oc2c(CN3CCOCC3)c(O)ccc12	989	0.33000
SJ000550844-1	OC(CNc1ccccc1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	989	0.29976
SJ000550395-1	COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cccc(O)c1	988	0.36002
SJ000551083-1	O=C(O)c1ccc(CNCC(O)c2ccccc2)cc1	987	0.33000
SJ000550679-1	OCCCNCC(O)Cn1c2ccccc2c2ccccc21	986	0.29999
SJ000550872-1	CN1CCN(CC(O)Cn2c3ccccc3c3cc(Cl)ccc32)CC1	985	0.35199
SJ000550427-1	CCOc1cc(C2C(C(=O)OCc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccccc2)C3)ccc1O	985	0.32894
SJ000551308-1	O=C(N/N=C/c1ccc(O)c([N+](=O)[O-])c1)c1[nH]ncc1I	984	0.34513
SJ000551667-1	Cc1cc(Oc2c(C(F)(F)F)oc3c(CN(C)C)c(O)ccc3c2=O)cc(C)c1Cl	983	0.33616
SJ000550470-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)COc1ccc(Cl)cc1	983	0.31076
SJ000551084-1	CC(O)CNCc1ccc(C(C)C)cc1	983	0.28968
SJ000550378-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)cc3)C2)C1c1cc(Br)c(O)c(OC)c1	981	0.32555
SJ000550509-1	CCCCNC(=O)c1cn(C2CCCCC2)cc(C(=O)NC2CCN(Cc3ccccc3)C2)c1=O	981	0.30000
SJ000551296-1	Cc1cc(C)c(C)c(Oc2cc(NC(=O)c3c(I)cnn3C)cc([N+](=O)[O-])c2)c1	980	0.32211
SJ000550884-1	O=C(Cc1ccccc1)Nc1ccc(-c2nc3ccccc3[nH]2)cc1	980	0.30000
SJ000551685-1	COc1ccc(Oc2c(C(F)(F)F)oc3c(CN4CCCC(C)C4)c(O)ccc3c2=O)cc1	979	0.32061
SJ000551348-1	Cn1ncc(I)c1C(=O)Nc1ccc(F)c([N+](=O)[O-])c1	978	0.28000
SJ000551082-1	OC(CNCCc1ccccc1)c1ccccc1	976	0.27966
SJ000550469-1	CCCCn1c(=N)n(CC(O)COc2ccc(Cl)cc2)c2ccccc21	975	0.28997
SJ000550466-1	CCOc1ccc(C(O)Cn2c(=N)n(CCN3CCCCC3)c3ccccc32)cc1	975	0.27962
SJ000551651-1	COc1ccc(Oc2c(C(F)(F)F)oc3c(CN4CCCCCC4)c(O)ccc3c2=O)cc1	974	0.30429
SJ000550957-1	COc1cccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2cc(OC)c(OC)c(OC)c2)c1	974	0.28736
SJ000551078-1	OC(CNCc1ccc(OCc2ccccc2)cc1)c1ccccc1	974	0.27959
SJ000550877-1	OC(CNc1cccc2ccccc12)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	973	0.27944
SJ000550900-1	OC(CNCCOc1ccccc1)Cn1c2ccccc2c2ccccc21	970	0.26990
SJ000550538-1	COc1cc2c(cc1OC)C(c1ccc(Cl)cc1Cl)NCC2	969	0.29528
SJ000550673-1	OC(CNCC1CCCO1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	969	0.26983
SJ000551673-1	CCC1CCCCN1Cc1c(O)ccc2c(=O)c(Oc3ccc(OC)cc3)c(C(F)(F)F)oc12	968	0.29042
SJ000550391-1	CCOc1cc(C2C(C(=O)OC)=C(C)NC3=C2C(=O)CC(c2ccc(OC)cc2)C3)cc(Cl)c1O	968	0.26982
SJ000550958-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccccc2)C3)cc(OC)c1O	968	0.25758
SJ000550489-1	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1cc(OC)c(OC)c(OC)c1	967	0.28863
SJ000550421-1	Cc1ccc2nc(-c3cccnc3)cc(C(=O)N3CCC(Cc4ccccc4)CC3)c2c1	967	0.25000
SJ000551338-1	C=CCn1nnnc1NCc1cc(Cl)c(OC)c(OC)c1	966	0.25000
SJ000551341-1	Cc1cccc(Oc2cc(NC(=O)c3c(I)cnn3C)cc([N+](=O)[O-])c2)c1	965	0.25000
SJ000550722-1	Oc1ccc(Cl)cc1CN1CCCC(N2CCCC2)C1	964	0.27806
SJ000550463-1	COc1ccc(C(O)Cn2c(=N)n(CCN3CCCCC3)c3ccccc32)cc1	963	0.27418
SJ000550672-1	COc1ccc(Cl)cc1NCC(O)Cn1c2ccccc2c2ccccc21	962	0.26227
SJ000550392-1	CCOc1cc(C2C(C(=O)OC)=C(C)NC3=C2C(=O)CC(c2ccccc2)C3)cc(Cl)c1O	962	0.25957
SJ000551762-1	CCOC(=O)C1=C(C)N=c2sc(=Cc3c(OC)ccc4ccccc34)c(=O)n2C1c1ccc2c(c1)OCO2	961	0.25983
SJ000551079-1	COc1cccc(CNCC(O)c2ccccc2)c1	960	0.24000
SJ000550675-1	Cc1cccc(NCC(O)Cn2c3ccc(Br)cc3c3cc(Br)ccc32)c1C	958	0.25425
SJ000550876-1	OC(CNc1ccc(Cl)cc1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21	958	0.24976
SJ000550390-1	CCCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(OCCC)cc1	958	0.23000
SJ000550878-1	OC(CNc1cccc2ccccc12)Cn1c2ccccc2c2ccccc21	957	0.24944
SJ000550960-1	COc1ccc(OC)c(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)c1	956	0.24000
SJ000551076-1	O=C(Nc1ccccc1)c1ccccc1OCC(O)CN(Cc1ccccc1)Cc1ccccc1	954	0.24000
SJ000550840-1	Cc1ccc(NCC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)cc1	954	0.23000
SJ000550676-1	Cc1cccc(NCC(O)Cn2c3ccccc3c3ccccc32)c1C	954	0.22665
SJ000550842-1	Cc1cccc(NCC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)c1	953	0.24000
SJ000550909-1	O=C(Nc1ccc(Cl)c(-c2nc3ccccc3[nH]2)c1)c1cccnc1	953	0.21829
SJ000550422-1	O=C(c1cc(-c2cccnc2)nc2ccc(Cl)cc12)N1CCC(Cc2ccccc2)CC1	952	0.22000
SJ000550845-1	OC(CNc1ccccc1)Cn1c2ccccc2c2ccccc21	951	0.23976
SJ000550910-1	CCC(C(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccccc1	950	0.20988
SJ000551305-1	Cc1cc(C)cc(Oc2cc(NC(=O)c3c(I)cnn3C)cc([N+](=O)[O-])c2)c1	949	0.21000
SJ000550475-1	N=c1n(CCN2CCCCC2)c2ccccc2n1CC(O)COc1ccccc1	948	0.21000
SJ000550805-1	COc1cc2nc(/C=C/c3ccco3)oc(=O)c2cc1OC	948	0.20594
SJ000550686-1	Cc1ccc(C)c(NCC(O)Cn2c3ccccc3c3ccccc32)c1	946	0.22967
SJ000550751-1	C=CCN1C(=O)CS/C1=C\c1sc2ccccc2[n+]1CC	945	0.22000
SJ000550688-1	CCOC(=O)c1ccc(NC(=O)CC2C(=O)N(c3ccc(F)cc3)C(=O)N2CCC(C)C)cc1	945	0.20000
SJ000550529-1	COc1ccc(O)c(C2NCCc3cc(OC)c(OC)cc32)c1	945	0.19949
SJ000550929-1	Cc1cc(Br)ccc1NC(=O)c1c(-c2c(Cl)cccc2Cl)noc1C	944	0.20000
SJ000550770-1	OCCC1CN(Cc2cc(Cl)ccc2O)CCN1CCCc1ccccc1	944	0.19721
SJ000550859-1	OCC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21	941	0.21960
SJ000550450-1	N=c1n(CCO)c2ccccc2n1CCN1CCCCC1	941	0.18636
SJ000551694-1	Cc1ccc(-c2nc3cc(C)ccc3[nH]2)cc1	939	0.21922
SJ000550956-1	COc1ccc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)c(OC)c1	939	0.18312
SJ000550589-1	CCc1ccc(NC(=O)/C=C/c2ccccc2Cl)cc1	938	0.19000
SJ000550888-1	c1cc(-c2nc3ccccc3[nH]2)nc(-c2nc3ccccc3[nH]2)c1	938	0.18108
SJ000551340-1	Cn1ncc(I)c1C(=O)Nc1cc(Oc2ccc(Cl)cc2)cc([N+](=O)[O-])c1	937	0.18105
SJ000550963-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(F)cc2)C3)c(OC)cc1Br	935	0.20000
SJ000551714-1	CCOc1cccc(CN2CCCn3c4c(c5cc(C)ccc53)CCCC42)c1O	935	0.17940
SJ000550684-1	COc1ccc(OC)c(NCC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)c1	933	0.19976
SJ000551067-1	CC1CCC(C(C)C)C(OCC(O)CNC2CCCC2)C1	933	0.19000
SJ000550901-1	c1cncc(CNc2cccc(-c3nc4ccccc4[nH]3)c2)c1	933	0.17041
SJ000550370-1	CCOc1cc(C2C(C(=O)OCCOC)=C(C)NC3=C2C(=O)CC(c2ccc(OC)cc2)C3)ccc1O	932	0.18994
SJ000551664-1	CN(C)Cc1c(O)ccc2c(=O)c(Oc3ccc(Br)cc3)c(C(F)(F)F)oc12	932	0.16880
SJ000550841-1	Cc1ccc(NCC(O)Cn2c3ccccc3c3ccccc32)cc1	931	0.19000
SJ000551427-1	Cc1cc(Nc2ccccc2)nc(N2CCOCC2)n1	929	0.18000
SJ000551180-1	O=C(Nc1ccc([N+](=O)[O-])cc1Br)C1CC1(c1ccccc1)c1ccccc1	929	0.16380
SJ000487122-2	Cc1ccc(Nc2cc(C)nc(N3CCOCC3)n2)cc1	928	0.18000
SJ000551426-1	Cc1cc(Nc2cccc(Cl)c2)nc(N2CCOCC2)n1	927	0.18000
SJ000550472-1	CCN(CC)CCn1c(=N)n(CC(O)COc2ccccc2)c2ccccc21	926	0.17981
SJ000550880-1	Nc1cccc(-c2nc3cc(Oc4ccc5[nH]c(-c6cccc(N)c6)nc5c4)ccc3[nH]2)c1	926	0.17000
SJ000550928-1	CCc1ccccc1NC(=O)c1c(-c2c(Cl)cccc2Cl)noc1C	925	0.17000
SJ000288308-3	Nc1ccc(-c2nc3cc(-c4nc5cc(N)ccc5[nH]4)ccc3[nH]2)cc1	924	0.17964
SJ000550709-1	COc1ccc(Br)cc1CN1CCN(C2CC3CCC2C3)CC1	923	0.17000
SJ000550954-1	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(C)cc2)C3)ccc1O	923	0.14884
SJ000551011-1	Cc1cc(O)nc(-n2nc(C)c(Oc3ccccc3O)c2C)n1	922	0.14837
SJ000550897-1	O=C(Cc1ccccc1)Nc1ccc(-c2nc3cc(NC(=O)Cc4ccccc4)ccc3[nH]2)cc1	921	0.17000
SJ000551085-1	COc1ccccc1OCC(O)CNC1CCCC1	921	0.16923
SJ000550959-1	CCOc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2cc(OC)c(OC)c(OC)c2)cc1	921	0.14260
SJ000550912-1	O=C(Cc1cccc2ccccc12)Nc1ccc(-c2nc3ccccc3[nH]2)cc1	920	0.17000
SJ000551036-1	O=C(c1ccccc1)N1CCN(c2ccc([N+](=O)[O-])c(NC3CC3)c2)CC1	920	0.16000
SJ000550404-1	Cc1c(Cl)ccc2c(C(=O)N3CCC(Cc4ccccc4)CC3)cc(-c3cccnc3)nc12	919	0.17000
SJ000550371-1	CC1=C(C(=O)OCCOc2ccccc2)C(c2ccc(Cl)cc2)C2=C(CC(c3ccc(Cl)cc3)CC2=O)N1	919	0.16000
SJ000550685-1	COc1ccc(NCC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc32)c(OC)c1	919	0.14063
SJ000550874-1	CCn1c2ccccc2c2cc(CN3CCCC(O)C3)ccc21	917	0.17000
SJ000550478-1	CN(CC(O)c1ccccc1)C(=O)c1cn(C2CCCCC2)cc(C(=O)NC(C)(C)C)c1=O	917	0.16000
SJ000551119-1	CCOC(=O)c1c(C)oc2cc(CN(C)C)c(O)cc12	917	0.13808
SJ000550499-1	COC(=O)[C@@H](NC(=O)c1cn(C2CCCCC2)cc(C(=O)NC(C)(C)C)c1=O)c1ccccc1	916	0.16000
SJ000550725-1	Oc1ccc(Br)cc1CN1CCC(N2CCOCC2)CC1	916	0.13645
SJ000550401-1	COc1cccc(C2C(C(=O)OCCOc3ccccc3)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)c1	914	0.16000
SJ000550832-1	COc1ccccc1/C=C/c1nc2cc(OC)c(OC)cc2c(=O)o1	914	0.13288
SJ000550368-1	CC1=C(C(=O)OCCOc2ccccc2)C(c2ccc(F)cc2)C2=C(CC(c3ccccc3)CC2=O)N1	913	0.16000
SJ000550774-1	OCCC1CN(Cc2cc(Cl)ccc2O)CCN1C1CCCCC1	913	0.13253
